Country,Religion,Nationalism,Politics,Work,Education,Family,Children,Life Satisfaction,,,
Argentina,1.893,2.284,1.043,2.699,0,2.898,1.72,7.25,,,
Brazil,2.359,2.422,1.246,2.791,3.854,2.891,1.97,7.39,,,
Belarus,1.081,2.046,1.341,2.32,0,2.685,0,5.52,,,
Chile,2.224,2.366,1.065,2.708,0,2.83,2.03,7.55,,,
China,0.27,2.197,1.772,2.537,0,2.561,1.73,7.29,,,
Czech Rep.,0.769,1.79,1.229,2.456,0,2.81,1.73,6.36,,,
India,2.237,2.636,1.223,2.849,5.548,2.748,2.62,6.7,,,
Japan,0.8,1.791,1.493,2.129,0,2.728,1.69,6.53,,,
South Korea,1.668,2.235,1.967,2.615,6.079,2.912,1.66,6.69,,,
Mexico,1.959,2.366,1.287,2.629,0,2.818,1.86,7.41,,,
Nigeria,2.755,2.499,1.222,2.916,4.202,2.928,1.85,6.59,,,
Poland,1.511,2.583,1.264,2.603,0,2.88,0,6.64,,,
Russia,1.045,1.681,1.227,2.181,0,2.693,1.54,5.37,,,
Slovakia,1.3,2.013,1.143,2.497,0,2.822,1.81,6.15,,,
South Africa,2.478,2.494,1.59,2.692,4.228,2.867,2,6.2,,,
Spain,1.476,2.199,0.816,2.55,0,2.785,1.71,7.16,,,
Switzerland,1.576,2.035,1.265,2.317,4.537,2.795,1.7,8.39,,,
Turkey,2.374,2.515,0.982,2.177,2.413,2.859,2.12,6.41,,,
