Country,Religion,Nationalism,Politics,Work,Education,Family,Children,Life Satisfaction
Albania,1.698,2.321,0.876,2.727,2.947,2.941,2.15,4.77
Azerbaijan,2.067,2.543,1.25,2.4,5.666,2.819,1.75,5.39
Argentina,1.882,2.276,1.03,2.66,3.693,2.853,1.95,6.92
Australia,1.507,2.576,1.496,2.321,5.042,2.88,1.66,7.55
Bangladesh,2.798,2.733,1.473,2.817,3.822,2.931,2.31,6.41
Armenia,1.712,2.148,1.437,2.595,5.568,2.832,1.7,4.32
Bulgaria,1.264,2.09,0.974,2.265,4.052,2.85,1.54,4.66
Belarus,1.472,1.913,1.254,2.239,4.833,2.798,1.62,4.35
Chile,2.07,2.393,0.817,2.532,4.273,2.853,2.05,6.91
China,0.631,2.217,1.691,2.519,3.447,2.747,1.79,6.83
Taiwan,1.527,1.674,1.371,2.329,4.783,2.752,2.31,6.56
Colombia,2.349,2.801,1.238,2.705,4.32,2.854,2,8.31
Croatia,1.647,2.178,0.98,2.427,0,2.823,1.46,6.18
Czech Rep.,0.826,2.11,0.989,2.274,4.163,2.883,1.67,6.39
Dominican Rep.,2.245,2.584,1.285,2.505,6.412,2.841,1.2,7.13
El Salvador,2.785,2.781,1.105,2.92,3.639,2.953,2.44,7.5
Estonia,1,1.476,1.07,2.48,4.877,2.742,1.48,5
Finland,1.4,2.327,0.921,2.279,4.062,2.751,1.56,7.78
Georgia,2.269,2.545,1.319,2.271,5.397,2.929,1.43,4.68
Germany,0.95,1.312,1.511,2.327,4.608,2.744,1.39,6.93
Hungary,1.349,2.353,0.985,2.337,4.142,2.858,1.5,5.86
India,2.175,2.521,1.098,2.784,3.496,2.891,2.32,6.53
Japan,0.873,1.798,1.698,2.363,0,2.867,1.72,6.61
South Korea,1.536,0,1.77,2.457,5.966,2.889,1.77,0
Latvia,1.164,1.368,0.999,2.43,5.368,2.591,1.29,4.9
Lithuania,1.486,1.717,1.079,2.334,4.866,2.681,1.57,4.99
Mexico,2.197,2.583,1.416,2.526,4.382,2.701,2.25,7.69
Moldova,1.863,2.067,1.047,2.289,4.469,2.754,1.97,3.73
New Zealand,1.218,2.416,1.315,2.222,4.526,2.899,2.17,7.7
Nigeria,2.892,2.433,1.383,2.826,4.77,2.969,2.22,6.6
Norway,1.296,2.31,1.409,2.498,4.857,2.862,1.68,7.66
Pakistan,2.75,2.836,0.669,2.584,2.616,2.753,3.33,0
Peru,2.296,2.719,1.211,2.652,4.602,2.856,2.04,6.36
Philippines,2.757,2.658,1.429,2.799,5.076,2.955,2.39,6.84
Poland,2.248,2.617,1.045,2.538,3.573,2.883,2.01,6.42
Puerto Rico,2.609,2.778,1.225,2.69,5.575,2.92,2.21,8.1
Romania,2.055,2.201,0.932,2.509,4.895,2.856,1.4,4.86
Russia,1.286,1.873,1.06,2.234,4.854,2.789,1.57,4.45
Slovakia,1.563,2.168,1.051,2.314,4.205,2.898,1.84,6.07
Slovenia,1.365,2.367,0.797,2.478,3.924,2.768,1.49,6.46
South Africa,2.546,2.76,1.331,2.691,3.793,2.904,2.28,5.59
Spain,1.684,2.481,0.861,2.453,3.171,2.805,1.74,6.61
Sweden,1.105,2.236,1.464,2.551,5.078,2.884,1.56,7.77
Switzerland,1.28,1.798,1.239,2.307,4.254,2.776,1.58,8.14
Turkey,2.744,2.72,1.508,2.687,2.771,2.96,2.86,6.2
Ukraine,1.411,1.628,1.022,2.21,4.856,2.811,1.59,3.95
Macedonia,1.804,1.978,1.063,2.653,4.198,2.963,1.7,5.7
United Kingdom,0,0,0,0,2.583,0,0.56,7.59
United States,2.325,2.708,1.661,2.347,5.411,2.942,2.02,7.67
Uruguay,1.509,2.599,1.162,2.629,3.372,2.891,2.08,7.06
Venezuela,2.403,2.895,0.874,2.916,4.008,2.969,2.42,6.72
Serbia,1.626,1.991,0.971,2.518,3.877,2.862,1.45,5.56
Montenegro,1.589,1.959,0.976,2.361,4.195,2.877,1.96,6.21
Bosnia,2.066,2.417,1.406,2.748,4.272,2.965,1.64,5.96
