Country,Children,Education,Family,Life Satisfaction,Nationalism,Politics,Religion,Work
Albania,2.15,4.091,2.947,5.17,2.619,1.022,1.701,2.729
Algeria,2.95,4.998,2.931,5.67,2.657,1.402,2.877,2.899
Argentina,2.18,3.456,2.884,7.33,2.448,0.861,2.097,2.672
Bangladesh,2.4,3.676,2.967,5.78,2.684,1.533,2.85,2.896
Bosnia Herzegovina,1.89,4.543,2.985,5.77,1.856,1.173,1.925,2.56
Canada,1.91,5.069,2.927,7.8,2.543,1.321,1.777,2.364
Chile,2.18,4.142,2.953,7.12,2.611,0.949,2.199,2.663
China,1.85,3.471,2.557,6.53,1.939,1.673,0.454,2.38
India,3.38,3.437,2.889,5.14,2.478,1.198,2.258,2.674
Indonesia,2.87,5.228,2.99,6.96,2.398,1.283,2.98,2.872
Iran,1.82,4.557,2.921,6.38,2.774,1.295,2.698,2.673
Iraq,3.13,3.393,2.964,5.23,2.672,1.55,2.915,2.788
Israel,,5.39,,7.03,2.306,,,
Japan,1.83,5.604,2.874,6.48,1.642,1.708,0.77,2.24
Jordan,3.04,4.028,2.961,5.64,2.596,1.33,2.948,2.417
South Korea,1.53,6.271,2.892,6.21,1.925,1.564,1.587,2.53
Kyrgyzstan,2.05,5.724,2.865,6.48,2.204,1.466,1.94,2.416
Mexico,2.87,3.138,2.95,8.13,2.703,1.348,2.516,2.804
Moldova,1.69,4.889,2.809,4.57,1.729,1.22,1.984,2.026
Morocco,2.08,1.494,2.917,5.83,2.867,0.802,2.946,2.84
Nigeria,2.15,4.09,2.986,6.87,2.608,1.576,2.913,2.829
Pakistan,1.77,3.133,2.916,4.85,2.781,0.72,2.762,2.509
Peru,2.01,5.254,2.813,6.44,2.677,1.446,2.342,2.649
Philippines,2.86,4.72,2.985,6.67,2.845,1.619,2.839,2.921
Puerto Rico,2.24,6.337,2.951,8.49,2.86,1.315,2.674,2.656
Saudi Arabia,2.24,5.706,2.94,7.28,2.66,1.584,2.852,2.426
Singapore,1.09,4.02,2.913,7.13,2.354,1.436,2,2.41
Vietnam,2.7,3.407,2.811,6.52,2.734,2.087,1.218,2.489
South Africa,1.8,4.525,2.933,5.81,2.665,1.472,2.58,2.696
Zimbabwe,2.68,2.858,2.972,3.94,2.657,1.225,2.67,2.887
Spain,1.64,3.465,2.839,6.99,2.451,0.949,1.512,2.406
Sweden,1.51,4.871,2.87,7.65,2.124,1.581,1.225,2.409
Turkey,2.41,3.074,2.964,5.81,2.438,1.191,2.708,2.517
Uganda,2.35,4.286,2.888,5.62,2.543,1.608,2.67,2.721
Macedonia,1.77,4.133,2.971,5.12,2.255,1.213,2.166,2.678
Egypt,2.53,3.2,2.96,5.36,2.802,1.325,2.97,2.596
Tanzania,2.63,3.433,2.813,3.87,2.707,1.712,2.556,2.713
United States,1.77,5.668,2.939,7.65,2.636,1.642,2.339,2.394
Venezuela,2.21,4.872,2.978,7.52,2.859,1.101,2.453,2.891
Serbia,1.53,5.455,2.91,5.62,1.915,0.983,1.887,2.386
Montenegro,2.27,5.164,2.92,5.64,1.247,1.094,1.772,2.378
