Country,Children,Education,Family,Life Satisfaction,Nationalism,Politics,Religion,Work
Andorra,1.07,5.135,2.86,7.13,2.134,1.127,0.973,2.369
Argentina,1.95,3.587,2.899,7.79,2.482,1.015,1.862,2.648
Australia,2.02,5.523,2.913,7.28,2.625,1.456,1.273,2.027
Brazil,1.95,3.101,2.856,7.65,2.155,1.499,2.385,2.636
Bulgaria,1.53,4.691,2.872,5.22,1.973,0.911,1.485,2.181
Canada,1.84,5.296,2.911,7.76,2.578,1.462,1.744,2.283
Chile,2.26,3.496,2.886,7.16,2.491,0.781,2.036,2.494
China,1.68,3.868,2.743,6.76,1.934,1.377,0.615,2.222
Taiwan,1.8,5.065,2.907,6.58,1.632,1.095,1.516,2.489
Colombia,0,4.864,0,8.31,2.875,0,0,0
Cyprus,1.7,5.377,2.92,7.37,2.368,1.137,2.263,2.388
Ethiopia,1.05,3.42,2.903,4.99,2.642,2.023,2.715,2.859
Finland,1.65,4.478,2.832,7.84,2.462,1.082,1.48,2.183
France,1.82,4.515,2.831,6.91,2.064,1.362,1.252,2.506
Georgia,1.6,5.872,2.98,4.96,2.713,1.697,2.742,2.657
Germany,1.54,4.016,2.772,7.13,1.722,1.337,1.058,2.194
Ghana,1.97,2.514,2.922,6.12,2.918,1.538,2.862,2.894
Guatemala,2.11,4.022,2.981,7.93,2.816,1.277,2.781,2.942
Hong Kong,1.29,4.602,2.515,6.41,1.55,1.212,1.197,2.05
Hungary,1.46,4.62,2.807,5.91,2.228,0.954,1.212,2.363
India,2.58,3.461,2.881,5.8,2.53,1.2,2.191,2.576
Indonesia,1.81,5.474,2.959,6.91,2.352,1.306,2.909,2.797
Iran,1.66,4.493,2.922,6.43,2.515,1.482,2.707,2.678
Iraq,2.82,3.288,2.95,4.46,2.743,1.798,2.938,2.724
Italy,1.24,5.061,2.918,6.89,2.27,1.197,2.012,2.532
Japan,1.66,5.748,2.872,6.99,1.687,1.701,0.72,2.271
Jordan,2.94,4.397,2.96,7.12,2.678,1.464,2.938,2.481
South Korea,1.68,5.455,2.921,6.35,2.063,1.604,1.494,2.511
Malaysia,1.64,4.685,2.962,6.84,2.631,1.422,2.755,2.627
Mali,3.14,1.684,2.873,6.09,2.819,1.423,2.819,2.756
Mexico,2.52,4.063,2.933,8.23,2.773,1.4,2.395,2.812
Moldova,1.63,5.147,2.815,5.45,1.778,1.022,1.977,2.319
Morocco,2.21,1.71,2.954,5.25,2.483,1.057,2.885,2.812
Netherlands,1.47,4.131,2.716,7.76,1.971,1.342,0.997,1.951
New Zealand,2.09,6.015,2.919,7.89,2.492,1.294,1.147,2.064
Norway,1.74,5.62,2.89,7.96,2.334,1.62,1.172,2.423
Peru,2.13,4.31,2.793,7.04,,1.068,2.19,2.645
Poland,1.66,4.085,2.92,7.02,2.567,1.05,2.289,2.404
Romania,1.71,4.13,2.803,5.75,2.149,0.865,2.42,2.365
Russia,1.33,5.256,2.857,6.09,2.185,1.165,1.371,2.194
Rwanda,2.39,2.039,2.609,4.97,2.773,1.508,2.341,2.619
Vietnam,2.2,3.352,2.807,7.09,2.776,1.857,1.19,2.277
Slovenia,1.43,4.532,2.852,7.24,2.36,0.808,1.303,2.362
South Africa,1.81,4.128,2.943,7.03,2.72,1.449,2.564,2.647
Spain,1.49,3.555,2.874,7.32,2.461,1.085,1.236,2.335
Sweden,1.56,5.932,2.906,7.74,2.174,1.7,1.084,2.409
Switzerland,1.57,5.411,2.836,8.01,1.911,1.593,1.396,2.408
Thailand,2.15,3.31,2.846,7.21,2.833,1.994,2.487,2.468
Trinidad and Tobago,1.95,3.785,2.939,7.33,2.869,1.08,2.635,2.747
Turkey,1.88,3.825,2.974,7.46,2.601,1.175,2.632,2.374
Ukraine,1.26,5.489,2.832,5.67,1.849,1.209,1.543,2.079
Egypt,2.8,3.261,2.975,5.74,2.704,1.11,2.946,2.444
United Kingdom,1.65,5.027,2.909,7.6,2.256,1.288,1.343,1.876
United States,0,4.815,2.929,7.32,2.447,1.519,2.087,2.035
Burkina Faso,2.59,1.818,2.935,5.57,2.749,1.363,2.751,2.845
Uruguay,2.03,3.136,2.882,7.46,2.619,1.082,1.413,2.574
Serbia,1.32,4.593,2.913,6.01,2.017,0.925,1.827,2.457
Montenegro,1.32,4.593,2.913,6.01,2.017,0.925,1.827,2.457
Zambia,1.86,3.688,2.878,6.06,2.424,1.519,2.639,2.64
